period,strategy,family,period_start,period_end,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,UpCap,DnCap,Turnover_yr,AvgExp,ee_Sharpe,ee_Sortino,ee_Calmar,ee_CAGR,ee_Vol,ee_MDD,bh_Sharpe,bh_CAGR
전체,combo,combination,1990-01-31,2026-05-29,9.06%,10.22%,0.634,0.888,-19.16%,0.473,65.23%,66.55%,3.55,0.741,0.531,0.757,0.214,9.31%,13.33%,-43.46%,0.531,11.24%
전체,tsmom12,trend,1990-01-31,2026-05-29,10.77%,13.34%,0.631,0.88,-31.32%,0.344,76.71%,73.63%,2.84,0.825,0.531,0.757,0.21,9.96%,14.86%,-47.54%,0.531,11.24%
전체,vix,volatility,1990-01-31,2026-05-29,7.75%,9.27%,0.559,0.785,-28.33%,0.274,58.91%,64.46%,4.3,0.684,0.531,0.758,0.218,8.86%,12.32%,-40.63%,0.531,11.24%
전체,trend_avg,trend,1990-01-31,2026-05-29,10.37%,11.96%,0.659,0.922,-24.26%,0.428,72.21%,69.45%,4.47,0.803,0.531,0.757,0.211,9.79%,14.46%,-46.49%,0.531,11.24%
전체,buy_hold,benchmark,1990-01-31,2026-05-29,11.24%,18.01%,0.531,0.757,-55.25%,0.204,99.76%,100.00%,0.03,1.0,-,-,-,-,-,-,0.531,11.24%
전반_1990_2007,combo,combination,1990-01-31,2007-12-31,9.78%,10.10%,0.569,0.82,-18.90%,0.517,68.76%,65.20%,3.23,0.747,0.481,0.702,0.261,9.50%,11.80%,-36.42%,0.482,11.02%
전반_1990_2007,tsmom12,trend,1990-01-31,2007-12-31,12.99%,12.72%,0.702,1.024,-19.19%,0.677,82.66%,66.44%,1.73,0.833,0.482,0.701,0.249,10.03%,13.15%,-40.34%,0.482,11.02%
전반_1990_2007,vix,volatility,1990-01-31,2007-12-31,8.21%,9.02%,0.467,0.672,-28.33%,0.29,61.90%,64.29%,3.42,0.692,0.481,0.703,0.271,9.15%,10.93%,-33.81%,0.482,11.02%
전반_1990_2007,trend_avg,trend,1990-01-31,2007-12-31,11.25%,11.87%,0.613,0.882,-16.16%,0.697,76.12%,67.29%,4.48,0.806,0.482,0.702,0.252,9.87%,12.73%,-39.14%,0.482,11.02%
전반_1990_2007,buy_hold,benchmark,1990-01-31,2007-12-31,11.02%,15.79%,0.482,0.7,-47.41%,0.232,99.49%,100.00%,0.06,1.0,-,-,-,-,-,-,0.482,11.02%
후반_2008_,combo,combination,2008-01-01,2026-05-29,8.42%,10.35%,0.702,0.959,-17.63%,0.478,62.16%,67.49%,3.89,0.734,0.579,0.816,0.228,9.16%,14.63%,-40.17%,0.58,11.55%
후반_2008_,tsmom12,trend,2008-01-01,2026-05-29,8.74%,13.91%,0.574,0.774,-31.32%,0.279,71.57%,78.92%,3.97,0.818,0.579,0.816,0.226,9.94%,16.30%,-44.04%,0.58,11.55%
후반_2008_,vix,volatility,2008-01-01,2026-05-29,7.35%,9.51%,0.65,0.895,-23.87%,0.308,56.32%,64.47%,5.19,0.677,0.579,0.816,0.23,8.61%,13.48%,-37.41%,0.58,11.55%
후반_2008_,trend_avg,trend,2008-01-01,2026-05-29,9.56%,12.04%,0.706,0.963,-24.26%,0.394,68.81%,71.10%,4.48,0.8,0.579,0.816,0.226,9.77%,15.94%,-43.22%,0.58,11.55%
후반_2008_,buy_hold,benchmark,2008-01-01,2026-05-29,11.55%,19.93%,0.58,0.816,-51.83%,0.223,100.00%,99.64%,0.05,1.0,-,-,-,-,-,-,0.58,11.55%
