variant,subperiod,strategy,CAGR,Sharpe,MDD
vix,2013-2019,vol_vix,0.1018,1.0255,-0.1281
vix,2013-2019,buy&hold,0.1475,1.0762,-0.1936
vix,2013-2019,ee(0.684),0.105,1.0805,-0.1352
vix,2021,vol_vix,0.1409,1.8042,-0.0347
vix,2021,buy&hold,0.2871,1.99,-0.0512
vix,2021,ee(0.684),0.1966,1.971,-0.0362
vix,2020_crash,vol_vix,0.0761,0.7053,-0.1272
vix,2020_crash,buy&hold,0.1832,0.6516,-0.3379
vix,2020_crash,ee(0.684),0.1478,0.6896,-0.2371
vix,2022,vol_vix,-0.1053,-1.1239,-0.1345
vix,2022,buy&hold,-0.1818,-0.7933,-0.2449
vix,2022,ee(0.684),-0.1248,-0.8464,-0.1731
vix,2000-2002,vol_vix,-0.0802,-1.0969,-0.2833
vix,2000-2002,buy&hold,-0.1462,-0.7156,-0.4741
vix,2000-2002,ee(0.684),-0.089,-0.7306,-0.3348
vix,2008-2009,vol_vix,-0.0484,-0.453,-0.2395
vix,2008-2009,buy&hold,-0.1072,-0.1732,-0.5183
vix,2008-2009,ee(0.684),-0.0577,-0.1651,-0.3787
realized,2013-2019,vol_realized,0.1184,1.0402,-0.1306
realized,2013-2019,buy&hold,0.1475,1.0762,-0.1936
realized,2013-2019,ee(0.812),0.1235,1.0735,-0.1659
realized,2021,vol_realized,0.2203,1.7923,-0.0485
realized,2021,buy&hold,0.2871,1.99,-0.0512
realized,2021,ee(0.812),0.2354,1.9887,-0.0422
realized,2020_crash,vol_realized,0.1197,0.8853,-0.1338
realized,2020_crash,buy&hold,0.1832,0.6516,-0.3379
realized,2020_crash,ee(0.812),0.1517,0.6377,-0.2808
realized,2022,vol_realized,-0.1166,-1.0591,-0.1516
realized,2022,buy&hold,-0.1818,-0.7933,-0.2449
realized,2022,ee(0.812),-0.1476,-0.8258,-0.2019
realized,2000-2002,vol_realized,-0.1256,-1.2445,-0.3742
realized,2000-2002,buy&hold,-0.1462,-0.7156,-0.4741
realized,2000-2002,ee(0.812),-0.1122,-0.7324,-0.3919
realized,2008-2009,vol_realized,-0.0352,-0.282,-0.2405
realized,2008-2009,buy&hold,-0.1072,-0.1732,-0.5183
realized,2008-2009,ee(0.812),-0.0748,-0.1672,-0.4352
blend,2013-2019,vol_blend,0.1074,1.0019,-0.1345
blend,2013-2019,buy&hold,0.1475,1.0762,-0.1936
blend,2013-2019,ee(0.751),0.1148,1.0782,-0.1493
blend,2021,vol_blend,0.1633,1.6634,-0.0452
blend,2021,buy&hold,0.2871,1.99,-0.0512
blend,2021,ee(0.751),0.2169,1.988,-0.0389
blend,2020_crash,vol_blend,0.0873,0.7415,-0.1309
blend,2020_crash,buy&hold,0.1832,0.6516,-0.3379
blend,2020_crash,ee(0.751),0.1592,0.6874,-0.2585
blend,2022,vol_blend,-0.1108,-1.1224,-0.1413
blend,2022,buy&hold,-0.1818,-0.7933,-0.2449
blend,2022,ee(0.751),-0.1349,-0.8374,-0.1859
blend,2000-2002,vol_blend,-0.0981,-1.1608,-0.3206
blend,2000-2002,buy&hold,-0.1462,-0.7156,-0.4741
blend,2000-2002,ee(0.751),-0.1,-0.7217,-0.364
blend,2008-2009,vol_blend,-0.0351,-0.3154,-0.2278
blend,2008-2009,buy&hold,-0.1072,-0.1732,-0.5183
blend,2008-2009,ee(0.751),-0.0703,-0.1767,-0.4142
